;src;dst;cost;energy;travel_time;waiting_time;delta_time;line_i;line_j;idx_src;idx_dst;c_stand;energy_stand;t_e;n_e;t_s;n_s;rg_id;rg
0;o_D0;n_T0;60.0;4725.0;15;0;15;0;410;0;4;0.5172413793103449;0.04725;0.0;n601;241.0;n3300440;1.0;1.0
1;o_D1;n_T0;52.0;4095.0;13;0;13;0;410;2;4;0.4482758620689655;0.04095;0.0;n601b;241.0;n3300440;1.0;1.0
2;o_D0;n_T1;84.0;6615.0;21;0;21;0;411;0;5;0.7241379310344828;0.06615;0.0;n601;250.0;n601b;1.0;2.0
3;o_D1;n_T1;0.0;0.0;0;0;0;0;411;2;5;0.0;0.0;0.0;n601b;250.0;n601b;1.0;2.0
4;o_D0;n_T2;60.0;4725.0;15;0;15;0;410;0;6;0.5172413793103449;0.04725;0.0;n601;259.0;n3300440;2.0;3.0
5;o_D1;n_T2;52.0;4095.0;13;0;13;0;410;2;6;0.4482758620689655;0.04095;0.0;n601b;259.0;n3300440;2.0;3.0
6;o_D0;n_T3;84.0;6615.0;21;0;21;0;411;0;7;0.7241379310344828;0.06615;0.0;n601;268.0;n601b;2.0;4.0
7;o_D1;n_T3;0.0;0.0;0;0;0;0;411;2;7;0.0;0.0;0.0;n601b;268.0;n601b;2.0;4.0
8;o_D0;n_T4;60.0;4725.0;15;0;15;0;410;0;8;0.5172413793103449;0.04725;0.0;n601;277.0;n3300440;3.0;5.0
9;o_D1;n_T4;52.0;4095.0;13;0;13;0;410;2;8;0.4482758620689655;0.04095;0.0;n601b;277.0;n3300440;3.0;5.0
10;w_H0_P0;n_T4;0.0;0.0;0;0;7;0;410;500;8;0.0;0.0;270.0;n3300440;277.0;n3300440;1.0;1.0
11;w_H1_P0;n_T4;0.0;0.0;0;0;7;0;410;664;8;0.0;0.0;270.0;n3300440;277.0;n3300440;1.0;1.0
12;o_D0;n_T5;84.0;6615.0;21;0;21;0;411;0;9;0.7241379310344828;0.06615;0.0;n601;286.0;n601b;3.0;6.0
13;n_T0;n_T5;28.0;7395.0;0;14;14;410;411;4;9;0.2413793103448276;0.07395;272.0;n601b;286.0;n601b;1.0;2.0
14;o_D1;n_T5;0.0;0.0;0;0;0;0;411;2;9;0.0;0.0;0.0;n601b;286.0;n601b;3.0;6.0
15;w_H0_P0;n_T5;52.0;4095.0;13;0;16;0;411;500;9;0.4482758620689655;0.04095;270.0;n3300440;286.0;n601b;1.0;3.0
16;w_H1_P0;n_T5;52.0;4095.0;13;0;16;0;411;664;9;0.4482758620689655;0.04095;270.0;n3300440;286.0;n601b;1.0;3.0
17;o_D0;n_T6;60.0;4725.0;15;0;15;0;410;0;10;0.5172413793103449;0.04725;0.0;n601;295.0;n3300440;4.0;7.0
18;n_T0;n_T6;72.0;11490.0;13;10;23;410;410;4;10;0.6206896551724138;0.1149;272.0;n601b;295.0;n3300440;2.0;3.0
19;o_D1;n_T6;52.0;4095.0;13;0;13;0;410;2;10;0.4482758620689655;0.04095;0.0;n601b;295.0;n3300440;4.0;7.0
20;n_T1;n_T6;28.0;7395.0;0;14;14;411;410;5;10;0.2413793103448276;0.07395;281.0;n3300440;295.0;n3300440;2.0;2.0
21;w_H0_P1;n_T6;0.0;0.0;0;0;10;0;410;502;10;0.0;0.0;285.0;n3300440;295.0;n3300440;1.0;1.0
22;w_H1_P1;n_T6;0.0;0.0;0;0;10;0;410;666;10;0.0;0.0;285.0;n3300440;295.0;n3300440;1.0;1.0
23;o_D0;n_T7;84.0;6615.0;21;0;21;0;411;0;11;0.7241379310344828;0.06615;0.0;n601;301.0;n601b;4.0;8.0
24;n_T0;n_T7;58.0;7395.0;0;29;29;410;411;4;11;0.5;0.07395;272.0;n601b;301.0;n601b;2.0;4.0
25;o_D1;n_T7;0.0;0.0;0;0;0;0;411;2;11;0.0;0.0;0.0;n601b;301.0;n601b;4.0;8.0
26;n_T1;n_T7;66.0;11490.0;13;7;20;411;411;5;11;0.5689655172413793;0.1149;281.0;n3300440;301.0;n601b;1.0;3.0
27;n_T2;n_T7;22.0;7395.0;0;11;11;410;411;6;11;0.1896551724137931;0.07395;290.0;n601b;301.0;n601b;1.0;1.0
28;w_H0_P1;n_T7;52.0;4095.0;13;0;16;0;411;502;11;0.4482758620689655;0.04095;285.0;n3300440;301.0;n601b;1.0;3.0
29;w_H1_P1;n_T7;52.0;4095.0;13;0;16;0;411;666;11;0.4482758620689655;0.04095;285.0;n3300440;301.0;n601b;1.0;3.0
30;o_D0;n_T8;60.0;4725.0;15;0;15;0;410;0;12;0.5172413793103449;0.04725;0.0;n601;307.0;n3300440;6.0;9.0
31;n_T0;n_T8;96.0;11490.0;13;22;35;410;410;4;12;0.8275862068965517;0.1149;272.0;n601b;307.0;n3300440;4.0;5.0
32;o_D1;n_T8;52.0;4095.0;13;0;13;0;410;2;12;0.4482758620689655;0.04095;0.0;n601b;307.0;n3300440;6.0;9.0
33;n_T1;n_T8;52.0;7395.0;0;26;26;411;410;5;12;0.4482758620689655;0.07395;281.0;n3300440;307.0;n3300440;4.0;4.0
34;n_T2;n_T8;60.0;11490.0;13;4;17;410;410;6;12;0.5172413793103449;0.1149;290.0;n601b;307.0;n3300440;1.0;2.0
35;n_T3;n_T8;16.0;7395.0;0;8;8;411;410;7;12;0.13793103448275862;0.07395;299.0;n3300440;307.0;n3300440;3.0;3.0
36;w_H0_P2;n_T8;0.0;0.0;0;0;7;0;410;504;12;0.0;0.0;300.0;n3300440;307.0;n3300440;2.0;2.0
37;w_H1_P2;n_T8;0.0;0.0;0;0;7;0;410;668;12;0.0;0.0;300.0;n3300440;307.0;n3300440;2.0;2.0
38;o_D0;n_T9;84.0;6615.0;21;0;21;0;411;0;13;0.7241379310344828;0.06615;0.0;n601;313.0;n601b;5.0;10.0
39;n_T0;n_T9;82.0;7395.0;0;41;41;410;411;4;13;0.7068965517241379;0.07395;272.0;n601b;313.0;n601b;3.0;6.0
40;o_D1;n_T9;0.0;0.0;0;0;0;0;411;2;13;0.0;0.0;0.0;n601b;313.0;n601b;5.0;10.0
41;n_T1;n_T9;90.0;11490.0;13;19;32;411;411;5;13;0.7758620689655172;0.1149;281.0;n3300440;313.0;n601b;2.0;5.0
42;n_T2;n_T9;46.0;7395.0;0;23;23;410;411;6;13;0.39655172413793105;0.07395;290.0;n601b;313.0;n601b;2.0;3.0
43;n_T3;n_T9;54.0;11490.0;13;1;14;411;411;7;13;0.46551724137931033;0.1149;299.0;n3300440;313.0;n601b;1.0;4.0
44;n_T4;n_T9;10.0;7395.0;0;5;5;410;411;8;13;0.08620689655172414;0.07395;308.0;n601b;313.0;n601b;1.0;1.0
45;w_H0_P2;n_T9;52.0;4095.0;13;0;13;0;411;504;13;0.4482758620689655;0.04095;300.0;n3300440;313.0;n601b;1.0;3.0
46;w_H1_P2;n_T9;52.0;4095.0;13;0;13;0;411;668;13;0.4482758620689655;0.04095;300.0;n3300440;313.0;n601b;1.0;3.0
47;o_D0;n_T10;60.0;4725.0;15;0;15;0;410;0;14;0.5172413793103449;0.04725;0.0;n601;319.0;n3300440;7.0;12.0
48;o_D1;n_T10;52.0;4095.0;13;0;13;0;410;2;14;0.4482758620689655;0.04095;0.0;n601b;319.0;n3300440;7.0;12.0
49;n_T1;n_T10;76.0;7395.0;0;38;38;411;410;5;14;0.6551724137931034;0.07395;281.0;n3300440;319.0;n3300440;5.0;7.0
