cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.7004 | Acc : 0.4885
     Batch 005 | Loss : 0.6986 | Acc : 0.4883
     Batch 010 | Loss : 0.6977 | Acc : 0.4847
     Batch 015 | Loss : 0.6965 | Acc : 0.4846
     Batch 020 | Loss : 0.6953 | Acc : 0.4888
     Batch 025 | Loss : 0.6946 | Acc : 0.4888
     Batch 030 | Loss : 0.6940 | Acc : 0.4891
     Batch 035 | Loss : 0.6935 | Acc : 0.4868
     Batch 040 | Loss : 0.6931 | Acc : 0.5154
     Batch 045 | Loss : 0.6929 | Acc : 0.5124
     Batch 050 | Loss : 0.6928 | Acc : 0.5124
     Batch 055 | Loss : 0.6926 | Acc : 0.5170
     Batch 060 | Loss : 0.6925 | Acc : 0.5174
     Batch 065 | Loss : 0.6928 | Acc : 0.5139
     Batch 070 | Loss : 0.6928 | Acc : 0.5131
     Batch 075 | Loss : 0.6926 | Acc : 0.5168
     Batch 080 | Loss : 0.6927 | Acc : 0.5128
     Batch 085 | Loss : 0.6924 | Acc : 0.5124
     Batch 090 | Loss : 0.6905 | Acc : 0.5148
     Batch 095 | Loss : 0.6774 | Acc : 0.5122
     Batch 100 | Loss : 0.6259 | Acc : 0.5150
     Batch 105 | Loss : 0.6058 | Acc : 0.5143
     Batch 110 | Loss : 0.6057 | Acc : 0.7266
     Batch 115 | Loss : 0.5953 | Acc : 0.7390
     Batch 120 | Loss : 0.5882 | Acc : 0.7326
     Batch 125 | Loss : 0.5968 | Acc : 0.7320
     Batch 130 | Loss : 0.5689 | Acc : 0.7411
     Batch 135 | Loss : 0.5219 | Acc : 0.7611
     Batch 140 | Loss : 0.5498 | Acc : 0.7425
     Batch 145 | Loss : 0.5133 | Acc : 0.7464
     Batch 150 | Loss : 0.4833 | Acc : 0.7681
Epoch 00000 | Train Loss : 0.6459 | Eval Loss : 0.4854 | Train acc : 0.5765 | Eval Acc : 0.7677 | Eval Log. Respected : 0.1572
     Batch 000 | Loss : 0.5322 | Acc : 0.7482
     Batch 005 | Loss : 0.4904 | Acc : 0.7637
     Batch 010 | Loss : 0.4604 | Acc : 0.7782
     Batch 015 | Loss : 0.4716 | Acc : 0.7751
     Batch 020 | Loss : 0.5027 | Acc : 0.7556
     Batch 025 | Loss : 0.4635 | Acc : 0.7798
     Batch 030 | Loss : 0.4972 | Acc : 0.7612
     Batch 035 | Loss : 0.4773 | Acc : 0.7717
     Batch 040 | Loss : 0.4360 | Acc : 0.7994
     Batch 045 | Loss : 0.4186 | Acc : 0.7997
     Batch 050 | Loss : 0.4353 | Acc : 0.7953
     Batch 055 | Loss : 0.4907 | Acc : 0.7571
     Batch 060 | Loss : 0.4441 | Acc : 0.7855
     Batch 065 | Loss : 0.4557 | Acc : 0.7803
     Batch 070 | Loss : 0.4167 | Acc : 0.8020
     Batch 075 | Loss : 0.4978 | Acc : 0.7585
     Batch 080 | Loss : 0.4408 | Acc : 0.7834
     Batch 085 | Loss : 0.4390 | Acc : 0.7866
     Batch 090 | Loss : 0.4077 | Acc : 0.8061
     Batch 095 | Loss : 0.4160 | Acc : 0.8007
     Batch 100 | Loss : 0.4568 | Acc : 0.7754
     Batch 105 | Loss : 0.4407 | Acc : 0.7883
     Batch 110 | Loss : 0.4277 | Acc : 0.7932
     Batch 115 | Loss : 0.4241 | Acc : 0.7890
     Batch 120 | Loss : 0.3773 | Acc : 0.8230
     Batch 125 | Loss : 0.3566 | Acc : 0.8296
     Batch 130 | Loss : 0.4225 | Acc : 0.7988
     Batch 135 | Loss : 0.4981 | Acc : 0.7660
     Batch 140 | Loss : 0.4203 | Acc : 0.7954
     Batch 145 | Loss : 0.3758 | Acc : 0.8248
     Batch 150 | Loss : 0.3929 | Acc : 0.8139
Epoch 00001 | Train Loss : 0.4410 | Eval Loss : 0.4335 | Train acc : 0.7896 | Eval Acc : 0.7918 | Eval Log. Respected : 0.8259
     Batch 000 | Loss : 0.5078 | Acc : 0.7558
     Batch 005 | Loss : 0.4181 | Acc : 0.8026
     Batch 010 | Loss : 0.5438 | Acc : 0.7577
     Batch 015 | Loss : 0.3735 | Acc : 0.8246
     Batch 020 | Loss : 0.3840 | Acc : 0.8249
     Batch 025 | Loss : 0.4312 | Acc : 0.7929
     Batch 030 | Loss : 0.3921 | Acc : 0.8122
     Batch 035 | Loss : 0.3967 | Acc : 0.8089
     Batch 040 | Loss : 0.3789 | Acc : 0.8213
     Batch 045 | Loss : 0.4082 | Acc : 0.8026
     Batch 050 | Loss : 0.4240 | Acc : 0.8027
     Batch 055 | Loss : 0.4381 | Acc : 0.7916
     Batch 060 | Loss : 0.3544 | Acc : 0.8343
     Batch 065 | Loss : 0.4152 | Acc : 0.7997
     Batch 070 | Loss : 0.3932 | Acc : 0.8183
     Batch 075 | Loss : 0.3991 | Acc : 0.8070
     Batch 080 | Loss : 0.3527 | Acc : 0.8361
     Batch 085 | Loss : 0.3836 | Acc : 0.8212
     Batch 090 | Loss : 0.4326 | Acc : 0.7944
     Batch 095 | Loss : 0.4389 | Acc : 0.7921
     Batch 100 | Loss : 0.4077 | Acc : 0.8051
     Batch 105 | Loss : 0.4228 | Acc : 0.8006
     Batch 110 | Loss : 0.3826 | Acc : 0.8160
     Batch 115 | Loss : 0.4085 | Acc : 0.8027
     Batch 120 | Loss : 0.3737 | Acc : 0.8248
     Batch 125 | Loss : 0.3688 | Acc : 0.8251
     Batch 130 | Loss : 0.3846 | Acc : 0.8170
     Batch 135 | Loss : 0.4899 | Acc : 0.7714
     Batch 140 | Loss : 0.3658 | Acc : 0.8339
     Batch 145 | Loss : 0.3751 | Acc : 0.8234
     Batch 150 | Loss : 0.3825 | Acc : 0.8198
Epoch 00002 | Train Loss : 0.4021 | Eval Loss : 0.4043 | Train acc : 0.8089 | Eval Acc : 0.8031 | Eval Log. Respected : 0.9257
     Batch 000 | Loss : 0.3770 | Acc : 0.8213
     Batch 005 | Loss : 0.3808 | Acc : 0.8180
     Batch 010 | Loss : 0.4125 | Acc : 0.8026
     Batch 015 | Loss : 0.3619 | Acc : 0.8345
     Batch 020 | Loss : 0.3965 | Acc : 0.8103
     Batch 025 | Loss : 0.4054 | Acc : 0.8095
     Batch 030 | Loss : 0.4236 | Acc : 0.7971
     Batch 035 | Loss : 0.4478 | Acc : 0.7808
     Batch 040 | Loss : 0.3876 | Acc : 0.8231
     Batch 045 | Loss : 0.3988 | Acc : 0.8136
     Batch 050 | Loss : 0.4293 | Acc : 0.7925
     Batch 055 | Loss : 0.3949 | Acc : 0.8155
     Batch 060 | Loss : 0.4044 | Acc : 0.8080
     Batch 065 | Loss : 0.3761 | Acc : 0.8213
     Batch 070 | Loss : 0.3660 | Acc : 0.8299
     Batch 075 | Loss : 0.4014 | Acc : 0.8141
     Batch 080 | Loss : 0.3597 | Acc : 0.8334
     Batch 085 | Loss : 0.3796 | Acc : 0.8163
     Batch 090 | Loss : 0.3420 | Acc : 0.8422
     Batch 095 | Loss : 0.3568 | Acc : 0.8343
     Batch 100 | Loss : 0.3709 | Acc : 0.8263
     Batch 105 | Loss : 0.3594 | Acc : 0.8361
     Batch 110 | Loss : 0.4160 | Acc : 0.7975
     Batch 115 | Loss : 0.3670 | Acc : 0.8304
     Batch 120 | Loss : 0.3875 | Acc : 0.8142
     Batch 125 | Loss : 0.4458 | Acc : 0.7895
     Batch 130 | Loss : 0.4352 | Acc : 0.7852
     Batch 135 | Loss : 0.3868 | Acc : 0.8175
     Batch 140 | Loss : 0.4010 | Acc : 0.8086
     Batch 145 | Loss : 0.4016 | Acc : 0.8052
     Batch 150 | Loss : 0.4011 | Acc : 0.8056
Epoch 00003 | Train Loss : 0.3937 | Eval Loss : 0.3957 | Train acc : 0.8141 | Eval Acc : 0.8084 | Eval Log. Respected : 0.9249
     Batch 000 | Loss : 0.3859 | Acc : 0.8167
     Batch 005 | Loss : 0.3556 | Acc : 0.8344
     Batch 010 | Loss : 0.4131 | Acc : 0.8066
     Batch 015 | Loss : 0.3882 | Acc : 0.8153
     Batch 020 | Loss : 0.4221 | Acc : 0.7936
     Batch 025 | Loss : 0.3558 | Acc : 0.8341
     Batch 030 | Loss : 0.3849 | Acc : 0.8214
     Batch 035 | Loss : 0.4207 | Acc : 0.7956
     Batch 040 | Loss : 0.3797 | Acc : 0.8251
     Batch 045 | Loss : 0.3766 | Acc : 0.8185
     Batch 050 | Loss : 0.3444 | Acc : 0.8404
     Batch 055 | Loss : 0.3745 | Acc : 0.8229
     Batch 060 | Loss : 0.4909 | Acc : 0.7810
     Batch 065 | Loss : 0.3591 | Acc : 0.8281
     Batch 070 | Loss : 0.3623 | Acc : 0.8282
     Batch 075 | Loss : 0.4141 | Acc : 0.7952
     Batch 080 | Loss : 0.4609 | Acc : 0.7917
     Batch 085 | Loss : 0.3775 | Acc : 0.8258
     Batch 090 | Loss : 0.3934 | Acc : 0.8107
     Batch 095 | Loss : 0.3494 | Acc : 0.8376
     Batch 100 | Loss : 0.3300 | Acc : 0.8486
     Batch 105 | Loss : 0.3342 | Acc : 0.8462
     Batch 110 | Loss : 0.4029 | Acc : 0.8090
     Batch 115 | Loss : 0.3610 | Acc : 0.8301
     Batch 120 | Loss : 0.3750 | Acc : 0.8261
     Batch 125 | Loss : 0.3509 | Acc : 0.8356
     Batch 130 | Loss : 0.3379 | Acc : 0.8422
     Batch 135 | Loss : 0.3862 | Acc : 0.8242
     Batch 140 | Loss : 0.3989 | Acc : 0.8116
     Batch 145 | Loss : 0.4065 | Acc : 0.8109
     Batch 150 | Loss : 0.3578 | Acc : 0.8335
Epoch 00004 | Train Loss : 0.3858 | Eval Loss : 0.3880 | Train acc : 0.8182 | Eval Acc : 0.8145 | Eval Log. Respected : 0.9470
     Batch 000 | Loss : 0.3839 | Acc : 0.8118
     Batch 005 | Loss : 0.3984 | Acc : 0.8068
     Batch 010 | Loss : 0.3657 | Acc : 0.8282
     Batch 015 | Loss : 0.4040 | Acc : 0.8054
     Batch 020 | Loss : 0.3585 | Acc : 0.8308
