cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.7008 | Acc : 0.4872
     Batch 005 | Loss : 0.6981 | Acc : 0.4855
     Batch 010 | Loss : 0.6932 | Acc : 0.4883
     Batch 015 | Loss : 0.6930 | Acc : 0.5109
     Batch 020 | Loss : 0.6926 | Acc : 0.5095
     Batch 025 | Loss : 0.6907 | Acc : 0.5128
     Batch 030 | Loss : 0.6831 | Acc : 0.5130
     Batch 035 | Loss : 0.6617 | Acc : 0.6277
     Batch 040 | Loss : 0.6002 | Acc : 0.7097
     Batch 045 | Loss : 0.6004 | Acc : 0.7428
     Batch 050 | Loss : 0.6025 | Acc : 0.7274
     Batch 055 | Loss : 0.5204 | Acc : 0.8079
     Batch 060 | Loss : 0.5531 | Acc : 0.7711
     Batch 065 | Loss : 0.5190 | Acc : 0.7871
     Batch 070 | Loss : 0.5439 | Acc : 0.7420
     Batch 075 | Loss : 0.4955 | Acc : 0.7671
     Batch 080 | Loss : 0.4301 | Acc : 0.7966
     Batch 085 | Loss : 0.4618 | Acc : 0.7904
     Batch 090 | Loss : 0.4838 | Acc : 0.7587
     Batch 095 | Loss : 0.4317 | Acc : 0.7924
     Batch 100 | Loss : 0.3702 | Acc : 0.8323
     Batch 105 | Loss : 0.4125 | Acc : 0.8141
     Batch 110 | Loss : 0.4110 | Acc : 0.8072
     Batch 115 | Loss : 0.3990 | Acc : 0.8129
     Batch 120 | Loss : 0.4080 | Acc : 0.8020
     Batch 125 | Loss : 0.4192 | Acc : 0.8030
     Batch 130 | Loss : 0.3621 | Acc : 0.8274
     Batch 135 | Loss : 0.4598 | Acc : 0.7640
     Batch 140 | Loss : 0.5263 | Acc : 0.7550
     Batch 145 | Loss : 0.4822 | Acc : 0.7636
     Batch 150 | Loss : 0.4016 | Acc : 0.8072
     Batch 155 | Loss : 0.4490 | Acc : 0.7826
     Batch 160 | Loss : 0.4042 | Acc : 0.8147
     Batch 165 | Loss : 0.4350 | Acc : 0.7883
     Batch 170 | Loss : 0.4025 | Acc : 0.8104
     Batch 175 | Loss : 0.3808 | Acc : 0.8175
     Batch 180 | Loss : 0.4357 | Acc : 0.7958
     Batch 185 | Loss : 0.4247 | Acc : 0.7929
     Batch 190 | Loss : 0.4159 | Acc : 0.7941
     Batch 195 | Loss : 0.4176 | Acc : 0.7971
     Batch 200 | Loss : 0.4511 | Acc : 0.7859
     Batch 205 | Loss : 0.4397 | Acc : 0.7964
     Batch 210 | Loss : 0.3899 | Acc : 0.8173
     Batch 215 | Loss : 0.3596 | Acc : 0.8320
     Batch 220 | Loss : 0.4242 | Acc : 0.7902
     Batch 225 | Loss : 0.3648 | Acc : 0.8306
     Batch 230 | Loss : 0.3505 | Acc : 0.8439
     Batch 235 | Loss : 0.4065 | Acc : 0.8047
     Batch 240 | Loss : 0.3255 | Acc : 0.8477
     Batch 245 | Loss : 0.3548 | Acc : 0.8356
     Batch 250 | Loss : 0.3637 | Acc : 0.8362
     Batch 255 | Loss : 0.3895 | Acc : 0.8191
     Batch 260 | Loss : 0.4023 | Acc : 0.8103
     Batch 265 | Loss : 0.3817 | Acc : 0.8224
     Batch 270 | Loss : 0.3636 | Acc : 0.8328
Epoch 00000 | Train Loss : 0.4677 | Eval Loss : 0.3717 | Train acc : 0.7604 | Eval Acc : 0.8243 | Eval Log. Respected : 0.9690
     Batch 000 | Loss : 0.3423 | Acc : 0.8432
     Batch 005 | Loss : 0.3236 | Acc : 0.8537
     Batch 010 | Loss : 0.3708 | Acc : 0.8285
     Batch 015 | Loss : 0.3339 | Acc : 0.8461
     Batch 020 | Loss : 0.4407 | Acc : 0.7954
     Batch 025 | Loss : 0.4308 | Acc : 0.7910
