cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6952 | Acc : 0.5111
     Batch 005 | Loss : 0.6935 | Acc : 0.5120
     Batch 010 | Loss : 0.6924 | Acc : 0.5178
     Batch 015 | Loss : 0.6913 | Acc : 0.5767
     Batch 020 | Loss : 0.6918 | Acc : 0.5292
     Batch 025 | Loss : 0.6875 | Acc : 0.5606
     Batch 030 | Loss : 0.6660 | Acc : 0.6464
     Batch 035 | Loss : 0.6526 | Acc : 0.6369
     Batch 040 | Loss : 0.6179 | Acc : 0.6415
     Batch 045 | Loss : 0.5609 | Acc : 0.7723
     Batch 050 | Loss : 0.5958 | Acc : 0.7270
     Batch 055 | Loss : 0.5129 | Acc : 0.7942
     Batch 060 | Loss : 0.4964 | Acc : 0.7966
     Batch 065 | Loss : 0.5070 | Acc : 0.7628
     Batch 070 | Loss : 0.4482 | Acc : 0.8017
     Batch 075 | Loss : 0.4481 | Acc : 0.7847
     Batch 080 | Loss : 0.4398 | Acc : 0.7851
     Batch 085 | Loss : 0.4529 | Acc : 0.7806
     Batch 090 | Loss : 0.4375 | Acc : 0.7876
     Batch 095 | Loss : 0.4710 | Acc : 0.7687
     Batch 100 | Loss : 0.4509 | Acc : 0.7780
     Batch 105 | Loss : 0.4006 | Acc : 0.8157
     Batch 110 | Loss : 0.4677 | Acc : 0.7665
     Batch 115 | Loss : 0.3653 | Acc : 0.8270
     Batch 120 | Loss : 0.3660 | Acc : 0.8251
     Batch 125 | Loss : 0.4618 | Acc : 0.7814
     Batch 130 | Loss : 0.3918 | Acc : 0.8256
     Batch 135 | Loss : 0.4686 | Acc : 0.7635
     Batch 140 | Loss : 0.4781 | Acc : 0.7516
     Batch 145 | Loss : 0.3601 | Acc : 0.8309
     Batch 150 | Loss : 0.4602 | Acc : 0.7823
     Batch 155 | Loss : 0.4670 | Acc : 0.7653
     Batch 160 | Loss : 0.4712 | Acc : 0.7648
     Batch 165 | Loss : 0.4354 | Acc : 0.7904
     Batch 170 | Loss : 0.3359 | Acc : 0.8504
     Batch 175 | Loss : 0.4105 | Acc : 0.7993
     Batch 180 | Loss : 0.4856 | Acc : 0.7578
     Batch 185 | Loss : 0.4580 | Acc : 0.7864
     Batch 190 | Loss : 0.3426 | Acc : 0.8336
     Batch 195 | Loss : 0.3768 | Acc : 0.8254
     Batch 200 | Loss : 0.4556 | Acc : 0.7799
     Batch 205 | Loss : 0.4521 | Acc : 0.7754
     Batch 210 | Loss : 0.3378 | Acc : 0.8450
     Batch 215 | Loss : 0.4251 | Acc : 0.8042
     Batch 220 | Loss : 0.4174 | Acc : 0.8086
     Batch 225 | Loss : 0.4609 | Acc : 0.7652
     Batch 230 | Loss : 0.4748 | Acc : 0.7598
     Batch 235 | Loss : 0.4049 | Acc : 0.8075
     Batch 240 | Loss : 0.4126 | Acc : 0.7981
