cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6954 | Acc : 0.5146
     Batch 025 | Loss : 0.6923 | Acc : 0.5118
     Batch 050 | Loss : 0.6283 | Acc : 0.6685
     Batch 075 | Loss : 0.5137 | Acc : 0.8034
     Batch 100 | Loss : 0.4145 | Acc : 0.8000
     Batch 125 | Loss : 0.4328 | Acc : 0.7988
     Batch 150 | Loss : 0.4219 | Acc : 0.7981
     Batch 175 | Loss : 0.3451 | Acc : 0.8449
     Batch 200 | Loss : 0.3810 | Acc : 0.8237
     Batch 225 | Loss : 0.5562 | Acc : 0.7453
     Batch 250 | Loss : 0.4082 | Acc : 0.7961
     Batch 275 | Loss : 0.5497 | Acc : 0.7448
     Batch 300 | Loss : 0.4368 | Acc : 0.7909
Epoch 00000 | Train Loss : 0.4756 | Eval Loss : 0.3865 | Train acc : 0.7583 | Eval Acc : 0.8177 | Eval Log. Respected : 0.9877
     Batch 000 | Loss : 0.4667 | Acc : 0.7839
     Batch 025 | Loss : 0.3593 | Acc : 0.8407
     Batch 050 | Loss : 0.3697 | Acc : 0.8190
     Batch 075 | Loss : 0.4630 | Acc : 0.7834
     Batch 100 | Loss : 0.3520 | Acc : 0.8409
     Batch 125 | Loss : 0.3273 | Acc : 0.8553
     Batch 150 | Loss : 0.3081 | Acc : 0.8648
     Batch 175 | Loss : 0.4223 | Acc : 0.7985
     Batch 200 | Loss : 0.3826 | Acc : 0.8239
     Batch 225 | Loss : 0.3954 | Acc : 0.8154
     Batch 250 | Loss : 0.3221 | Acc : 0.8500
     Batch 275 | Loss : 0.3558 | Acc : 0.8311
     Batch 300 | Loss : 0.3983 | Acc : 0.8071
Epoch 00001 | Train Loss : 0.3791 | Eval Loss : 0.3729 | Train acc : 0.8236 | Eval Acc : 0.8249 | Eval Log. Respected : 0.9641
     Batch 000 | Loss : 0.4370 | Acc : 0.7833
     Batch 025 | Loss : 0.4225 | Acc : 0.7966
     Batch 050 | Loss : 0.3695 | Acc : 0.8247
     Batch 075 | Loss : 0.3695 | Acc : 0.8221
     Batch 100 | Loss : 0.4123 | Acc : 0.8099
     Batch 125 | Loss : 0.3220 | Acc : 0.8546
     Batch 150 | Loss : 0.3930 | Acc : 0.8079
     Batch 175 | Loss : 0.3425 | Acc : 0.8372
     Batch 200 | Loss : 0.3595 | Acc : 0.8317
     Batch 225 | Loss : 0.4006 | Acc : 0.8151
     Batch 250 | Loss : 0.3492 | Acc : 0.8563
     Batch 275 | Loss : 0.3118 | Acc : 0.8574
     Batch 300 | Loss : 0.3083 | Acc : 0.8610
Epoch 00002 | Train Loss : 0.3621 | Eval Loss : 0.3907 | Train acc : 0.8326 | Eval Acc : 0.8085 | Eval Log. Respected : 0.9369
     Batch 000 | Loss : 0.3946 | Acc : 0.8087
     Batch 025 | Loss : 0.3059 | Acc : 0.8632
     Batch 050 | Loss : 0.3355 | Acc : 0.8446
     Batch 075 | Loss : 0.3247 | Acc : 0.8542
     Batch 100 | Loss : 0.4058 | Acc : 0.8118
     Batch 125 | Loss : 0.3259 | Acc : 0.8505
     Batch 150 | Loss : 0.3063 | Acc : 0.8579
     Batch 175 | Loss : 0.3428 | Acc : 0.8606
     Batch 200 | Loss : 0.2921 | Acc : 0.8684
     Batch 225 | Loss : 0.3351 | Acc : 0.8452
     Batch 250 | Loss : 0.3974 | Acc : 0.8194
     Batch 275 | Loss : 0.3406 | Acc : 0.8423
     Batch 300 | Loss : 0.3742 | Acc : 0.8204
Epoch 00003 | Train Loss : 0.3567 | Eval Loss : 0.3704 | Train acc : 0.8352 | Eval Acc : 0.8221 | Eval Log. Respected : 0.9495
     Batch 000 | Loss : 0.3438 | Acc : 0.8378
     Batch 025 | Loss : 0.3385 | Acc : 0.8410
     Batch 050 | Loss : 0.3159 | Acc : 0.8585
     Batch 075 | Loss : 0.3040 | Acc : 0.8624
     Batch 100 | Loss : 0.3920 | Acc : 0.8212
     Batch 125 | Loss : 0.2718 | Acc : 0.8825
     Batch 150 | Loss : 0.3236 | Acc : 0.8516
     Batch 175 | Loss : 0.3520 | Acc : 0.8327
     Batch 200 | Loss : 0.3520 | Acc : 0.8352
     Batch 225 | Loss : 0.3350 | Acc : 0.8478
     Batch 250 | Loss : 0.3449 | Acc : 0.8389
