cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6934 | Acc : 0.4851
     Batch 005 | Loss : 0.6931 | Acc : 0.5132
     Batch 010 | Loss : 0.6929 | Acc : 0.5130
     Batch 015 | Loss : 0.6928 | Acc : 0.5132
     Batch 020 | Loss : 0.6927 | Acc : 0.5119
     Batch 025 | Loss : 0.6923 | Acc : 0.5133
     Batch 030 | Loss : 0.6913 | Acc : 0.5144
     Batch 035 | Loss : 0.6899 | Acc : 0.5120
     Batch 040 | Loss : 0.6851 | Acc : 0.5134
     Batch 045 | Loss : 0.6778 | Acc : 0.5123
     Batch 050 | Loss : 0.6596 | Acc : 0.5116
     Batch 055 | Loss : 0.6299 | Acc : 0.6815
     Batch 060 | Loss : 0.6008 | Acc : 0.7171
Epoch 00000 | Train Loss : 0.6759 | Eval Loss : 0.6094 | Train acc : 0.5405 | Eval Acc : 0.7083 | Eval Log. Respected : 0.0097
     Batch 000 | Loss : 0.5919 | Acc : 0.7288
     Batch 005 | Loss : 0.5700 | Acc : 0.7808
     Batch 010 | Loss : 0.5750 | Acc : 0.7656
     Batch 015 | Loss : 0.5369 | Acc : 0.8034
     Batch 020 | Loss : 0.5453 | Acc : 0.7877
     Batch 025 | Loss : 0.5301 | Acc : 0.7955
     Batch 030 | Loss : 0.5251 | Acc : 0.7889
     Batch 035 | Loss : 0.5090 | Acc : 0.7941
     Batch 040 | Loss : 0.4863 | Acc : 0.7917
     Batch 045 | Loss : 0.4731 | Acc : 0.7810
     Batch 050 | Loss : 0.4209 | Acc : 0.8115
     Batch 055 | Loss : 0.4211 | Acc : 0.8034
     Batch 060 | Loss : 0.4494 | Acc : 0.7861
Epoch 00001 | Train Loss : 0.5107 | Eval Loss : 0.4423 | Train acc : 0.7861 | Eval Acc : 0.7869 | Eval Log. Respected : 0.0416
     Batch 000 | Loss : 0.4310 | Acc : 0.7939
     Batch 005 | Loss : 0.4486 | Acc : 0.7876
     Batch 010 | Loss : 0.4512 | Acc : 0.7793
     Batch 015 | Loss : 0.4537 | Acc : 0.7792
     Batch 020 | Loss : 0.4038 | Acc : 0.8106
     Batch 025 | Loss : 0.4157 | Acc : 0.7983
     Batch 030 | Loss : 0.3901 | Acc : 0.8150
     Batch 035 | Loss : 0.4044 | Acc : 0.8061
