cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6969 | Acc : 0.5172
     Batch 025 | Loss : 0.6922 | Acc : 0.5141
     Batch 050 | Loss : 0.5915 | Acc : 0.7258
     Batch 075 | Loss : 0.5119 | Acc : 0.7846
     Batch 100 | Loss : 0.3499 | Acc : 0.8406
     Batch 125 | Loss : 0.4592 | Acc : 0.7686
     Batch 150 | Loss : 0.4978 | Acc : 0.7588
     Batch 175 | Loss : 0.4698 | Acc : 0.7649
     Batch 200 | Loss : 0.3438 | Acc : 0.8434
     Batch 225 | Loss : 0.3997 | Acc : 0.8211
     Batch 250 | Loss : 0.4044 | Acc : 0.8101
     Batch 275 | Loss : 0.3880 | Acc : 0.8164
     Batch 300 | Loss : 0.4011 | Acc : 0.8023
Epoch 00000 | Train Loss : 0.4655 | Eval Loss : 0.3819 | Train acc : 0.7677 | Eval Acc : 0.8189 | Eval Log. Respected : 0.9187
     Batch 000 | Loss : 0.4392 | Acc : 0.7904
     Batch 025 | Loss : 0.4095 | Acc : 0.8069
     Batch 050 | Loss : 0.3574 | Acc : 0.8351
     Batch 075 | Loss : 0.3985 | Acc : 0.8072
     Batch 100 | Loss : 0.3676 | Acc : 0.8347
     Batch 125 | Loss : 0.4407 | Acc : 0.7898
     Batch 150 | Loss : 0.3906 | Acc : 0.8104
     Batch 175 | Loss : 0.3357 | Acc : 0.8486
     Batch 200 | Loss : 0.3331 | Acc : 0.8479
     Batch 225 | Loss : 0.3784 | Acc : 0.8231
     Batch 250 | Loss : 0.3896 | Acc : 0.8124
     Batch 275 | Loss : 0.3551 | Acc : 0.8391
     Batch 300 | Loss : 0.4013 | Acc : 0.8111
Epoch 00001 | Train Loss : 0.3826 | Eval Loss : 0.3686 | Train acc : 0.8221 | Eval Acc : 0.8252 | Eval Log. Respected : 0.9732
     Batch 000 | Loss : 0.3253 | Acc : 0.8533
     Batch 025 | Loss : 0.3561 | Acc : 0.8283
     Batch 050 | Loss : 0.4259 | Acc : 0.7938
     Batch 075 | Loss : 0.3234 | Acc : 0.8606
     Batch 100 | Loss : 0.3337 | Acc : 0.8463
     Batch 125 | Loss : 0.3804 | Acc : 0.8239
     Batch 150 | Loss : 0.3496 | Acc : 0.8454
     Batch 175 | Loss : 0.4564 | Acc : 0.7942
     Batch 200 | Loss : 0.3867 | Acc : 0.8180
     Batch 225 | Loss : 0.3681 | Acc : 0.8317
