Done saving data into cached files.
Training ...
     Batch 000 | Loss : 0.6932 | Acc : 0.5146
     Batch 025 | Loss : 0.6927 | Acc : 0.5127
     Batch 050 | Loss : 0.6903 | Acc : 0.5797
     Batch 075 | Loss : 0.6338 | Acc : 0.6860
     Batch 100 | Loss : 0.5263 | Acc : 0.7504
     Batch 125 | Loss : 0.5644 | Acc : 0.7213
     Batch 150 | Loss : 0.4816 | Acc : 0.7648
     Batch 175 | Loss : 0.4583 | Acc : 0.7798
     Batch 200 | Loss : 0.4198 | Acc : 0.8025
     Batch 225 | Loss : 0.5247 | Acc : 0.7426
     Batch 250 | Loss : 0.4008 | Acc : 0.8142
     Batch 275 | Loss : 0.4039 | Acc : 0.8077
     Batch 300 | Loss : 0.3726 | Acc : 0.8236
Epoch 00000 | Train Loss : 0.5292 | Eval Loss : 0.4170 | Train acc : 0.7160 | Eval Acc : 0.7987 | Eval Log. Respected : 0.9815
     Batch 000 | Loss : 0.4174 | Acc : 0.7982
     Batch 025 | Loss : 0.3627 | Acc : 0.8375
     Batch 050 | Loss : 0.3903 | Acc : 0.8132
     Batch 075 | Loss : 0.4086 | Acc : 0.7994
     Batch 100 | Loss : 0.4583 | Acc : 0.7721
     Batch 125 | Loss : 0.4474 | Acc : 0.7712
     Batch 150 | Loss : 0.3856 | Acc : 0.8191
     Batch 175 | Loss : 0.4355 | Acc : 0.7854
     Batch 200 | Loss : 0.3624 | Acc : 0.8282
     Batch 225 | Loss : 0.3809 | Acc : 0.8215
     Batch 250 | Loss : 0.4351 | Acc : 0.7905
     Batch 275 | Loss : 0.4210 | Acc : 0.7934
     Batch 300 | Loss : 0.3849 | Acc : 0.8250
Epoch 00001 | Train Loss : 0.4074 | Eval Loss : 0.4017 | Train acc : 0.8064 | Eval Acc : 0.8058 | Eval Log. Respected : 0.9476
     Batch 000 | Loss : 0.3991 | Acc : 0.8127
     Batch 025 | Loss : 0.4388 | Acc : 0.7821
     Batch 050 | Loss : 0.3507 | Acc : 0.8470
     Batch 075 | Loss : 0.3917 | Acc : 0.8109
     Batch 100 | Loss : 0.3801 | Acc : 0.8207
     Batch 125 | Loss : 0.3929 | Acc : 0.8095
     Batch 150 | Loss : 0.3374 | Acc : 0.8494
     Batch 175 | Loss : 0.3343 | Acc : 0.8515
     Batch 200 | Loss : 0.3674 | Acc : 0.8293
     Batch 225 | Loss : 0.4847 | Acc : 0.7706
     Batch 250 | Loss : 0.4172 | Acc : 0.8033
     Batch 275 | Loss : 0.3400 | Acc : 0.8401
     Batch 300 | Loss : 0.3346 | Acc : 0.8446
Epoch 00002 | Train Loss : 0.3924 | Eval Loss : 0.3856 | Train acc : 0.8144 | Eval Acc : 0.8188 | Eval Log. Respected : 0.9488
     Batch 000 | Loss : 0.4546 | Acc : 0.7875
     Batch 025 | Loss : 0.3658 | Acc : 0.8328
     Batch 050 | Loss : 0.3465 | Acc : 0.8381
     Batch 075 | Loss : 0.3815 | Acc : 0.8209
     Batch 100 | Loss : 0.4078 | Acc : 0.7992
     Batch 125 | Loss : 0.3730 | Acc : 0.8220
     Batch 150 | Loss : 0.4109 | Acc : 0.8089
     Batch 175 | Loss : 0.3518 | Acc : 0.8371
     Batch 200 | Loss : 0.3600 | Acc : 0.8320
     Batch 225 | Loss : 0.3698 | Acc : 0.8267
     Batch 250 | Loss : 0.3552 | Acc : 0.8376
     Batch 275 | Loss : 0.3868 | Acc : 0.8119
     Batch 300 | Loss : 0.3889 | Acc : 0.8144
Epoch 00003 | Train Loss : 0.3857 | Eval Loss : 0.3934 | Train acc : 0.8178 | Eval Acc : 0.8145 | Eval Log. Respected : 0.9234
     Batch 000 | Loss : 0.3941 | Acc : 0.8080
     Batch 025 | Loss : 0.4018 | Acc : 0.8162
     Batch 050 | Loss : 0.3487 | Acc : 0.8436
     Batch 075 | Loss : 0.5673 | Acc : 0.7502
