cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6929 | Acc : 0.5135
     Batch 005 | Loss : 0.6928 | Acc : 0.5123
     Batch 010 | Loss : 0.6926 | Acc : 0.5121
     Batch 015 | Loss : 0.6913 | Acc : 0.5140
     Batch 020 | Loss : 0.6883 | Acc : 0.5628
     Batch 025 | Loss : 0.6784 | Acc : 0.6655
     Batch 030 | Loss : 0.6627 | Acc : 0.6827
     Batch 035 | Loss : 0.5977 | Acc : 0.7336
     Batch 040 | Loss : 0.5202 | Acc : 0.7483
     Batch 045 | Loss : 0.4831 | Acc : 0.7614
     Batch 050 | Loss : 0.4176 | Acc : 0.8085
     Batch 055 | Loss : 0.5155 | Acc : 0.7451
     Batch 060 | Loss : 0.4739 | Acc : 0.7659
     Batch 065 | Loss : 0.3840 | Acc : 0.8167
     Batch 070 | Loss : 0.4904 | Acc : 0.7501
     Batch 075 | Loss : 0.4746 | Acc : 0.7691
     Batch 080 | Loss : 0.3810 | Acc : 0.8241
     Batch 085 | Loss : 0.4455 | Acc : 0.7855
     Batch 090 | Loss : 0.4059 | Acc : 0.8097
     Batch 095 | Loss : 0.4253 | Acc : 0.7898
     Batch 100 | Loss : 0.4087 | Acc : 0.7992
     Batch 105 | Loss : 0.4204 | Acc : 0.7978
     Batch 110 | Loss : 0.3869 | Acc : 0.8230
     Batch 115 | Loss : 0.4013 | Acc : 0.8095
     Batch 120 | Loss : 0.4234 | Acc : 0.8045
     Batch 125 | Loss : 0.3939 | Acc : 0.8070
     Batch 130 | Loss : 0.3650 | Acc : 0.8394
     Batch 135 | Loss : 0.3704 | Acc : 0.8236
     Batch 140 | Loss : 0.3852 | Acc : 0.8187
     Batch 145 | Loss : 0.4552 | Acc : 0.7768
     Batch 150 | Loss : 0.3927 | Acc : 0.8121
Epoch 00000 | Train Loss : 0.4906 | Eval Loss : 0.4024 | Train acc : 0.7446 | Eval Acc : 0.8089 | Eval Log. Respected : 0.9930
     Batch 000 | Loss : 0.3822 | Acc : 0.8193
     Batch 005 | Loss : 0.3337 | Acc : 0.8450
     Batch 010 | Loss : 0.4083 | Acc : 0.7987
     Batch 015 | Loss : 0.4056 | Acc : 0.8039
     Batch 020 | Loss : 0.3991 | Acc : 0.8095
     Batch 025 | Loss : 0.3492 | Acc : 0.8395
     Batch 030 | Loss : 0.3882 | Acc : 0.8196
     Batch 035 | Loss : 0.4201 | Acc : 0.7947
     Batch 040 | Loss : 0.3741 | Acc : 0.8259
     Batch 045 | Loss : 0.4171 | Acc : 0.7948
     Batch 050 | Loss : 0.3944 | Acc : 0.8072
     Batch 055 | Loss : 0.4165 | Acc : 0.8109
     Batch 060 | Loss : 0.3318 | Acc : 0.8441
     Batch 065 | Loss : 0.3495 | Acc : 0.8401
     Batch 070 | Loss : 0.3889 | Acc : 0.8154
     Batch 075 | Loss : 0.3750 | Acc : 0.8224
     Batch 080 | Loss : 0.4367 | Acc : 0.8019
     Batch 085 | Loss : 0.3374 | Acc : 0.8493
     Batch 090 | Loss : 0.3345 | Acc : 0.8446
     Batch 095 | Loss : 0.3780 | Acc : 0.8224
     Batch 100 | Loss : 0.3707 | Acc : 0.8257
     Batch 105 | Loss : 0.3354 | Acc : 0.8494
     Batch 110 | Loss : 0.3783 | Acc : 0.8198
     Batch 115 | Loss : 0.3680 | Acc : 0.8267
     Batch 120 | Loss : 0.3121 | Acc : 0.8573
     Batch 125 | Loss : 0.4380 | Acc : 0.7864
     Batch 130 | Loss : 0.3931 | Acc : 0.8050
     Batch 135 | Loss : 0.3243 | Acc : 0.8488
     Batch 140 | Loss : 0.3372 | Acc : 0.8448
     Batch 145 | Loss : 0.3268 | Acc : 0.8495
     Batch 150 | Loss : 0.3592 | Acc : 0.8388
Epoch 00001 | Train Loss : 0.3772 | Eval Loss : 0.3762 | Train acc : 0.8229 | Eval Acc : 0.8198 | Eval Log. Respected : 0.9499
     Batch 000 | Loss : 0.3394 | Acc : 0.8419
     Batch 005 | Loss : 0.3163 | Acc : 0.8548
     Batch 010 | Loss : 0.3846 | Acc : 0.8195
     Batch 015 | Loss : 0.3580 | Acc : 0.8293
     Batch 020 | Loss : 0.3914 | Acc : 0.8126
     Batch 025 | Loss : 0.3349 | Acc : 0.8438
     Batch 030 | Loss : 0.3737 | Acc : 0.8204
     Batch 035 | Loss : 0.3646 | Acc : 0.8265
     Batch 040 | Loss : 0.3737 | Acc : 0.8266
     Batch 045 | Loss : 0.3644 | Acc : 0.8333
     Batch 050 | Loss : 0.3288 | Acc : 0.8478
     Batch 055 | Loss : 0.3539 | Acc : 0.8405
     Batch 060 | Loss : 0.3323 | Acc : 0.8472
     Batch 065 | Loss : 0.3278 | Acc : 0.8448
     Batch 070 | Loss : 0.4272 | Acc : 0.7983
     Batch 075 | Loss : 0.3858 | Acc : 0.8179
     Batch 080 | Loss : 0.3463 | Acc : 0.8380
     Batch 085 | Loss : 0.3624 | Acc : 0.8314
     Batch 090 | Loss : 0.3502 | Acc : 0.8454
     Batch 095 | Loss : 0.3003 | Acc : 0.8663
     Batch 100 | Loss : 0.3131 | Acc : 0.8552
     Batch 105 | Loss : 0.3412 | Acc : 0.8416
     Batch 110 | Loss : 0.3242 | Acc : 0.8532
     Batch 115 | Loss : 0.3807 | Acc : 0.8180
     Batch 120 | Loss : 0.4161 | Acc : 0.7953
     Batch 125 | Loss : 0.3245 | Acc : 0.8546
     Batch 130 | Loss : 0.2919 | Acc : 0.8647
     Batch 135 | Loss : 0.3707 | Acc : 0.8226
     Batch 140 | Loss : 0.3445 | Acc : 0.8405
     Batch 145 | Loss : 0.3427 | Acc : 0.8350
     Batch 150 | Loss : 0.3512 | Acc : 0.8354
Epoch 00002 | Train Loss : 0.3595 | Eval Loss : 0.3661 | Train acc : 0.8325 | Eval Acc : 0.8268 | Eval Log. Respected : 0.9445
     Batch 000 | Loss : 0.3411 | Acc : 0.8373
     Batch 005 | Loss : 0.3239 | Acc : 0.8512
     Batch 010 | Loss : 0.3377 | Acc : 0.8459
     Batch 015 | Loss : 0.3780 | Acc : 0.8256
     Batch 020 | Loss : 0.3681 | Acc : 0.8280
     Batch 025 | Loss : 0.3449 | Acc : 0.8360
     Batch 030 | Loss : 0.3301 | Acc : 0.8498
     Batch 035 | Loss : 0.3973 | Acc : 0.8132
     Batch 040 | Loss : 0.4172 | Acc : 0.7979
     Batch 045 | Loss : 0.3404 | Acc : 0.8422
