cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6986 | Acc : 0.4887
     Batch 005 | Loss : 0.6970 | Acc : 0.4842
     Batch 010 | Loss : 0.6952 | Acc : 0.4852
     Batch 015 | Loss : 0.6940 | Acc : 0.4865
     Batch 020 | Loss : 0.6933 | Acc : 0.4868
     Batch 025 | Loss : 0.6929 | Acc : 0.5150
     Batch 030 | Loss : 0.6925 | Acc : 0.5173
     Batch 035 | Loss : 0.6923 | Acc : 0.5151
     Batch 040 | Loss : 0.6913 | Acc : 0.5136
     Batch 045 | Loss : 0.6899 | Acc : 0.5127
     Batch 050 | Loss : 0.6814 | Acc : 0.5146
     Batch 055 | Loss : 0.6659 | Acc : 0.5127
     Batch 060 | Loss : 0.6416 | Acc : 0.5129
     Batch 065 | Loss : 0.6232 | Acc : 0.7072
     Batch 070 | Loss : 0.5903 | Acc : 0.7273
     Batch 075 | Loss : 0.7027 | Acc : 0.6512
     Batch 080 | Loss : 0.6074 | Acc : 0.7023
     Batch 085 | Loss : 0.5476 | Acc : 0.7738
     Batch 090 | Loss : 0.5455 | Acc : 0.7505
     Batch 095 | Loss : 0.5701 | Acc : 0.7305
     Batch 100 | Loss : 0.5220 | Acc : 0.7669
     Batch 105 | Loss : 0.5333 | Acc : 0.7500
     Batch 110 | Loss : 0.4844 | Acc : 0.7892
     Batch 115 | Loss : 0.4684 | Acc : 0.7845
     Batch 120 | Loss : 0.5129 | Acc : 0.7499
     Batch 125 | Loss : 0.4888 | Acc : 0.7576
     Batch 130 | Loss : 0.4737 | Acc : 0.7695
     Batch 135 | Loss : 0.4114 | Acc : 0.8133
     Batch 140 | Loss : 0.4416 | Acc : 0.7854
     Batch 145 | Loss : 0.5002 | Acc : 0.7483
     Batch 150 | Loss : 0.4909 | Acc : 0.7496
Epoch 00000 | Train Loss : 0.5915 | Eval Loss : 0.4563 | Train acc : 0.6511 | Eval Acc : 0.7763 | Eval Log. Respected : 0.9758
     Batch 000 | Loss : 0.5416 | Acc : 0.7206
     Batch 005 | Loss : 0.4505 | Acc : 0.7830
     Batch 010 | Loss : 0.5423 | Acc : 0.7407
     Batch 015 | Loss : 0.5027 | Acc : 0.7424
     Batch 020 | Loss : 0.4452 | Acc : 0.7860
     Batch 025 | Loss : 0.4638 | Acc : 0.7729
     Batch 030 | Loss : 0.4396 | Acc : 0.7826
     Batch 035 | Loss : 0.4472 | Acc : 0.7775
     Batch 040 | Loss : 0.4359 | Acc : 0.7887
     Batch 045 | Loss : 0.4281 | Acc : 0.7892
     Batch 050 | Loss : 0.4619 | Acc : 0.7713
     Batch 055 | Loss : 0.4747 | Acc : 0.7668
     Batch 060 | Loss : 0.4605 | Acc : 0.7815
     Batch 065 | Loss : 0.4498 | Acc : 0.7746
     Batch 070 | Loss : 0.4615 | Acc : 0.7690
     Batch 075 | Loss : 0.4771 | Acc : 0.7602
     Batch 080 | Loss : 0.4324 | Acc : 0.7875
     Batch 085 | Loss : 0.4420 | Acc : 0.7830
     Batch 090 | Loss : 0.4573 | Acc : 0.7683
     Batch 095 | Loss : 0.4492 | Acc : 0.7820
     Batch 100 | Loss : 0.4645 | Acc : 0.7799
     Batch 105 | Loss : 0.4802 | Acc : 0.7574
     Batch 110 | Loss : 0.4190 | Acc : 0.7973
     Batch 115 | Loss : 0.4778 | Acc : 0.7685
     Batch 120 | Loss : 0.4538 | Acc : 0.7696
     Batch 125 | Loss : 0.5172 | Acc : 0.7380
     Batch 130 | Loss : 0.4659 | Acc : 0.7698
     Batch 135 | Loss : 0.4594 | Acc : 0.7730
     Batch 140 | Loss : 0.4334 | Acc : 0.7869
     Batch 145 | Loss : 0.4764 | Acc : 0.7517
     Batch 150 | Loss : 0.4349 | Acc : 0.7926
Epoch 00001 | Train Loss : 0.4586 | Eval Loss : 0.4438 | Train acc : 0.7760 | Eval Acc : 0.7776 | Eval Log. Respected : 0.9667
     Batch 000 | Loss : 0.4706 | Acc : 0.7644
     Batch 005 | Loss : 0.4350 | Acc : 0.7923
     Batch 010 | Loss : 0.4481 | Acc : 0.7846
     Batch 015 | Loss : 0.4028 | Acc : 0.8010
     Batch 020 | Loss : 0.4095 | Acc : 0.8055
     Batch 025 | Loss : 0.4224 | Acc : 0.7951
     Batch 030 | Loss : 0.4796 | Acc : 0.7564
     Batch 035 | Loss : 0.4744 | Acc : 0.7639
     Batch 040 | Loss : 0.4336 | Acc : 0.7877
     Batch 045 | Loss : 0.4367 | Acc : 0.7841
     Batch 050 | Loss : 0.4324 | Acc : 0.7890
     Batch 055 | Loss : 0.4157 | Acc : 0.8004
     Batch 060 | Loss : 0.4084 | Acc : 0.8100
     Batch 065 | Loss : 0.4377 | Acc : 0.7841
     Batch 070 | Loss : 0.4337 | Acc : 0.7826
     Batch 075 | Loss : 0.4561 | Acc : 0.7700
     Batch 080 | Loss : 0.4280 | Acc : 0.8011
     Batch 085 | Loss : 0.4601 | Acc : 0.7765
     Batch 090 | Loss : 0.4488 | Acc : 0.7771
     Batch 095 | Loss : 0.4489 | Acc : 0.7788
     Batch 100 | Loss : 0.3960 | Acc : 0.8089
     Batch 105 | Loss : 0.4529 | Acc : 0.7807
     Batch 110 | Loss : 0.4329 | Acc : 0.7812
     Batch 115 | Loss : 0.4253 | Acc : 0.7882
     Batch 120 | Loss : 0.4538 | Acc : 0.7667
     Batch 125 | Loss : 0.4445 | Acc : 0.7814
     Batch 130 | Loss : 0.4904 | Acc : 0.7571
     Batch 135 | Loss : 0.4209 | Acc : 0.7960
     Batch 140 | Loss : 0.3732 | Acc : 0.8270
     Batch 145 | Loss : 0.4960 | Acc : 0.7552
     Batch 150 | Loss : 0.4364 | Acc : 0.7741
Epoch 00002 | Train Loss : 0.4399 | Eval Loss : 0.4281 | Train acc : 0.7837 | Eval Acc : 0.7872 | Eval Log. Respected : 0.9959
     Batch 000 | Loss : 0.4579 | Acc : 0.7683
     Batch 005 | Loss : 0.4750 | Acc : 0.7534
     Batch 010 | Loss : 0.4470 | Acc : 0.7864
     Batch 015 | Loss : 0.4429 | Acc : 0.7715
     Batch 020 | Loss : 0.4648 | Acc : 0.7786
     Batch 025 | Loss : 0.4198 | Acc : 0.7921
     Batch 030 | Loss : 0.4102 | Acc : 0.8004
     Batch 035 | Loss : 0.3921 | Acc : 0.8136
     Batch 040 | Loss : 0.4436 | Acc : 0.7867
     Batch 045 | Loss : 0.4203 | Acc : 0.7973
     Batch 050 | Loss : 0.4133 | Acc : 0.8019
     Batch 055 | Loss : 0.4486 | Acc : 0.7753
     Batch 060 | Loss : 0.4293 | Acc : 0.7842
     Batch 065 | Loss : 0.4513 | Acc : 0.7801
