cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6964 | Acc : 0.4893
     Batch 025 | Loss : 0.6926 | Acc : 0.5105
     Batch 050 | Loss : 0.6221 | Acc : 0.7120
     Batch 075 | Loss : 0.5419 | Acc : 0.7773
     Batch 100 | Loss : 0.4207 | Acc : 0.8093
     Batch 125 | Loss : 0.4342 | Acc : 0.7919
     Batch 150 | Loss : 0.3893 | Acc : 0.8193
     Batch 175 | Loss : 0.3392 | Acc : 0.8493
     Batch 200 | Loss : 0.4610 | Acc : 0.8116
     Batch 225 | Loss : 0.4495 | Acc : 0.7821
     Batch 250 | Loss : 0.3973 | Acc : 0.8089
     Batch 275 | Loss : 0.4667 | Acc : 0.7764
     Batch 300 | Loss : 0.3649 | Acc : 0.8279
Epoch 00000 | Train Loss : 0.4799 | Eval Loss : 0.3802 | Train acc : 0.7507 | Eval Acc : 0.8191 | Eval Log. Respected : 0.9988
     Batch 000 | Loss : 0.3385 | Acc : 0.8472
     Batch 025 | Loss : 0.4156 | Acc : 0.7977
     Batch 050 | Loss : 0.3827 | Acc : 0.8191
     Batch 075 | Loss : 0.4361 | Acc : 0.7871
     Batch 100 | Loss : 0.4571 | Acc : 0.7695
     Batch 125 | Loss : 0.3086 | Acc : 0.8554
     Batch 150 | Loss : 0.3745 | Acc : 0.8361
     Batch 175 | Loss : 0.3348 | Acc : 0.8457
     Batch 200 | Loss : 0.3342 | Acc : 0.8635
     Batch 225 | Loss : 0.3415 | Acc : 0.8472
     Batch 250 | Loss : 0.3224 | Acc : 0.8514
     Batch 275 | Loss : 0.3559 | Acc : 0.8376
     Batch 300 | Loss : 0.3758 | Acc : 0.8269
Epoch 00001 | Train Loss : 0.3760 | Eval Loss : 0.3533 | Train acc : 0.8259 | Eval Acc : 0.8333 | Eval Log. Respected : 0.9570
     Batch 000 | Loss : 0.3880 | Acc : 0.8121
     Batch 025 | Loss : 0.3617 | Acc : 0.8291
     Batch 050 | Loss : 0.4004 | Acc : 0.8158
     Batch 075 | Loss : 0.3646 | Acc : 0.8366
     Batch 100 | Loss : 0.3334 | Acc : 0.8557
     Batch 125 | Loss : 0.2838 | Acc : 0.8847
     Batch 150 | Loss : 0.3324 | Acc : 0.8524
     Batch 175 | Loss : 0.3303 | Acc : 0.8478
     Batch 200 | Loss : 0.3294 | Acc : 0.8499
     Batch 225 | Loss : 0.3650 | Acc : 0.8315
     Batch 250 | Loss : 0.3449 | Acc : 0.8406
     Batch 275 | Loss : 0.2894 | Acc : 0.8738
     Batch 300 | Loss : 0.4021 | Acc : 0.8089
