cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.7032 | Acc : 0.4861
     Batch 005 | Loss : 0.7009 | Acc : 0.4869
     Batch 010 | Loss : 0.6983 | Acc : 0.4871
     Batch 015 | Loss : 0.6933 | Acc : 0.4885
     Batch 020 | Loss : 0.6933 | Acc : 0.5117
     Batch 025 | Loss : 0.6931 | Acc : 0.5830
     Batch 030 | Loss : 0.6928 | Acc : 0.5114
     Batch 035 | Loss : 0.6926 | Acc : 0.5122
     Batch 040 | Loss : 0.6916 | Acc : 0.5159
     Batch 045 | Loss : 0.6900 | Acc : 0.5130
     Batch 050 | Loss : 0.6773 | Acc : 0.5320
     Batch 055 | Loss : 0.6301 | Acc : 0.6801
     Batch 060 | Loss : 0.6011 | Acc : 0.7392
     Batch 065 | Loss : 0.5601 | Acc : 0.7571
     Batch 070 | Loss : 0.5851 | Acc : 0.7292
     Batch 075 | Loss : 0.5331 | Acc : 0.7821
     Batch 080 | Loss : 0.5634 | Acc : 0.7530
     Batch 085 | Loss : 0.5781 | Acc : 0.7180
     Batch 090 | Loss : 0.5987 | Acc : 0.7186
     Batch 095 | Loss : 0.4721 | Acc : 0.7761
     Batch 100 | Loss : 0.4444 | Acc : 0.7856
     Batch 105 | Loss : 0.5124 | Acc : 0.7360
     Batch 110 | Loss : 0.4917 | Acc : 0.7537
     Batch 115 | Loss : 0.4600 | Acc : 0.7698
     Batch 120 | Loss : 0.4761 | Acc : 0.7638
     Batch 125 | Loss : 0.4760 | Acc : 0.7679
     Batch 130 | Loss : 0.4889 | Acc : 0.7585
     Batch 135 | Loss : 0.4813 | Acc : 0.7569
     Batch 140 | Loss : 0.4684 | Acc : 0.7715
     Batch 145 | Loss : 0.4206 | Acc : 0.8018
     Batch 150 | Loss : 0.4407 | Acc : 0.7832
Epoch 00000 | Train Loss : 0.5676 | Eval Loss : 0.4320 | Train acc : 0.6762 | Eval Acc : 0.7906 | Eval Log. Respected : 0.9826
     Batch 000 | Loss : 0.4148 | Acc : 0.8082
     Batch 005 | Loss : 0.4134 | Acc : 0.8070
     Batch 010 | Loss : 0.3994 | Acc : 0.8159
     Batch 015 | Loss : 0.4217 | Acc : 0.7949
     Batch 020 | Loss : 0.3461 | Acc : 0.8466
     Batch 025 | Loss : 0.4188 | Acc : 0.7972
     Batch 030 | Loss : 0.4590 | Acc : 0.7775
     Batch 035 | Loss : 0.4581 | Acc : 0.7782
     Batch 040 | Loss : 0.3765 | Acc : 0.8254
     Batch 045 | Loss : 0.4244 | Acc : 0.8040
     Batch 050 | Loss : 0.3959 | Acc : 0.8099
     Batch 055 | Loss : 0.3901 | Acc : 0.8250
     Batch 060 | Loss : 0.4355 | Acc : 0.7864
     Batch 065 | Loss : 0.4026 | Acc : 0.8090
     Batch 070 | Loss : 0.3742 | Acc : 0.8305
     Batch 075 | Loss : 0.3543 | Acc : 0.8424
     Batch 080 | Loss : 0.4261 | Acc : 0.7966
     Batch 085 | Loss : 0.3991 | Acc : 0.8115
     Batch 090 | Loss : 0.3864 | Acc : 0.8203
     Batch 095 | Loss : 0.4878 | Acc : 0.7748
     Batch 100 | Loss : 0.4378 | Acc : 0.7871
     Batch 105 | Loss : 0.3517 | Acc : 0.8477
     Batch 110 | Loss : 0.3848 | Acc : 0.8233
     Batch 115 | Loss : 0.4175 | Acc : 0.7996
     Batch 120 | Loss : 0.4157 | Acc : 0.8003
     Batch 125 | Loss : 0.4372 | Acc : 0.7862
     Batch 130 | Loss : 0.4708 | Acc : 0.7788
     Batch 135 | Loss : 0.4333 | Acc : 0.7896
     Batch 140 | Loss : 0.4047 | Acc : 0.8073
     Batch 145 | Loss : 0.3872 | Acc : 0.8184
     Batch 150 | Loss : 0.3484 | Acc : 0.8418
Epoch 00001 | Train Loss : 0.4065 | Eval Loss : 0.3897 | Train acc : 0.8090 | Eval Acc : 0.8147 | Eval Log. Respected : 0.9417
     Batch 000 | Loss : 0.3991 | Acc : 0.8168
     Batch 005 | Loss : 0.4001 | Acc : 0.8085
     Batch 010 | Loss : 0.3316 | Acc : 0.8529
     Batch 015 | Loss : 0.4415 | Acc : 0.7898
     Batch 020 | Loss : 0.4373 | Acc : 0.7873
     Batch 025 | Loss : 0.3843 | Acc : 0.8205
     Batch 030 | Loss : 0.3998 | Acc : 0.8076
     Batch 035 | Loss : 0.4012 | Acc : 0.8058
     Batch 040 | Loss : 0.3562 | Acc : 0.8361
     Batch 045 | Loss : 0.3884 | Acc : 0.8189
     Batch 050 | Loss : 0.3830 | Acc : 0.8215
     Batch 055 | Loss : 0.3481 | Acc : 0.8433
     Batch 060 | Loss : 0.3881 | Acc : 0.8218
     Batch 065 | Loss : 0.4092 | Acc : 0.8010
     Batch 070 | Loss : 0.4170 | Acc : 0.7984
     Batch 075 | Loss : 0.3716 | Acc : 0.8203
     Batch 080 | Loss : 0.4372 | Acc : 0.7918
     Batch 085 | Loss : 0.3965 | Acc : 0.8104
     Batch 090 | Loss : 0.3617 | Acc : 0.8281
     Batch 095 | Loss : 0.4139 | Acc : 0.8007
     Batch 100 | Loss : 0.3551 | Acc : 0.8332
     Batch 105 | Loss : 0.3523 | Acc : 0.8369
     Batch 110 | Loss : 0.4010 | Acc : 0.8073
     Batch 115 | Loss : 0.4441 | Acc : 0.7815
     Batch 120 | Loss : 0.3383 | Acc : 0.8473
     Batch 125 | Loss : 0.3754 | Acc : 0.8230
     Batch 130 | Loss : 0.3796 | Acc : 0.8273
     Batch 135 | Loss : 0.3210 | Acc : 0.8534
     Batch 140 | Loss : 0.3530 | Acc : 0.8369
     Batch 145 | Loss : 0.4247 | Acc : 0.7942
     Batch 150 | Loss : 0.3502 | Acc : 0.8453
Epoch 00002 | Train Loss : 0.3896 | Eval Loss : 0.3840 | Train acc : 0.8174 | Eval Acc : 0.8169 | Eval Log. Respected : 0.9564
     Batch 000 | Loss : 0.3736 | Acc : 0.8242
     Batch 005 | Loss : 0.3481 | Acc : 0.8362
     Batch 010 | Loss : 0.4089 | Acc : 0.8025
     Batch 015 | Loss : 0.4112 | Acc : 0.7992
     Batch 020 | Loss : 0.3753 | Acc : 0.8221
     Batch 025 | Loss : 0.3471 | Acc : 0.8384
     Batch 030 | Loss : 0.3175 | Acc : 0.8681
     Batch 035 | Loss : 0.3584 | Acc : 0.8388
     Batch 040 | Loss : 0.3673 | Acc : 0.8312
     Batch 045 | Loss : 0.3917 | Acc : 0.8171
     Batch 050 | Loss : 0.3301 | Acc : 0.8464
     Batch 055 | Loss : 0.3889 | Acc : 0.8121
     Batch 060 | Loss : 0.3939 | Acc : 0.8131
     Batch 065 | Loss : 0.3686 | Acc : 0.8269
     Batch 070 | Loss : 0.3954 | Acc : 0.8108
     Batch 075 | Loss : 0.3502 | Acc : 0.8357
     Batch 080 | Loss : 0.3619 | Acc : 0.8372
     Batch 085 | Loss : 0.3547 | Acc : 0.8371
     Batch 090 | Loss : 0.4369 | Acc : 0.7836
     Batch 095 | Loss : 0.3527 | Acc : 0.8436
     Batch 100 | Loss : 0.3738 | Acc : 0.8256
     Batch 105 | Loss : 0.3719 | Acc : 0.8318
     Batch 110 | Loss : 0.3018 | Acc : 0.8707
     Batch 115 | Loss : 0.3953 | Acc : 0.8124
     Batch 120 | Loss : 0.3931 | Acc : 0.8175
     Batch 125 | Loss : 0.3317 | Acc : 0.8511
     Batch 130 | Loss : 0.3716 | Acc : 0.8232
     Batch 135 | Loss : 0.4280 | Acc : 0.8073
     Batch 140 | Loss : 0.3353 | Acc : 0.8476
     Batch 145 | Loss : 0.4018 | Acc : 0.8107
     Batch 150 | Loss : 0.3517 | Acc : 0.8380
Epoch 00003 | Train Loss : 0.3804 | Eval Loss : 0.3758 | Train acc : 0.8221 | Eval Acc : 0.8200 | Eval Log. Respected : 0.9703
     Batch 000 | Loss : 0.4547 | Acc : 0.7761
     Batch 005 | Loss : 0.4585 | Acc : 0.7819
