Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6936 | Acc : 0.5135
     Batch 025 | Loss : 0.6929 | Acc : 0.5120
     Batch 050 | Loss : 0.6926 | Acc : 0.5169
     Batch 075 | Loss : 0.6905 | Acc : 0.5153
     Batch 100 | Loss : 0.6534 | Acc : 0.6742
     Batch 125 | Loss : 0.6049 | Acc : 0.6841
     Batch 150 | Loss : 0.5189 | Acc : 0.7259
     Batch 175 | Loss : 0.6191 | Acc : 0.6816
     Batch 200 | Loss : 0.4970 | Acc : 0.7309
     Batch 225 | Loss : 0.4777 | Acc : 0.7762
     Batch 250 | Loss : 0.5741 | Acc : 0.6751
     Batch 275 | Loss : 0.5356 | Acc : 0.6984
     Batch 300 | Loss : 0.4831 | Acc : 0.7605
Epoch 00000 | Train Loss : 0.5891 | Eval Loss : 0.5231 | Train acc : 0.6576 | Eval Acc : 0.7133 | Eval Log. Respected : 1.0000
     Batch 000 | Loss : 0.5217 | Acc : 0.7409
     Batch 025 | Loss : 0.4985 | Acc : 0.7390
     Batch 050 | Loss : 0.5121 | Acc : 0.7194
     Batch 075 | Loss : 0.5585 | Acc : 0.6896
     Batch 100 | Loss : 0.4940 | Acc : 0.7578
     Batch 125 | Loss : 0.4744 | Acc : 0.7564
     Batch 150 | Loss : 0.5008 | Acc : 0.7328
     Batch 175 | Loss : 0.5130 | Acc : 0.7166
     Batch 200 | Loss : 0.4537 | Acc : 0.7734
     Batch 225 | Loss : 0.5196 | Acc : 0.7213
     Batch 250 | Loss : 0.5703 | Acc : 0.6930
     Batch 275 | Loss : 0.4894 | Acc : 0.7453
     Batch 300 | Loss : 0.4924 | Acc : 0.7448
Epoch 00001 | Train Loss : 0.5174 | Eval Loss : 0.5194 | Train acc : 0.7255 | Eval Acc : 0.7230 | Eval Log. Respected : 1.0000
     Batch 000 | Loss : 0.5911 | Acc : 0.6941
     Batch 025 | Loss : 0.5267 | Acc : 0.7213
     Batch 050 | Loss : 0.4887 | Acc : 0.7255
     Batch 075 | Loss : 0.4752 | Acc : 0.7537
     Batch 100 | Loss : 0.5015 | Acc : 0.7459
     Batch 125 | Loss : 0.4661 | Acc : 0.7535
     Batch 150 | Loss : 0.5146 | Acc : 0.7217
     Batch 175 | Loss : 0.5954 | Acc : 0.6657
     Batch 200 | Loss : 0.4510 | Acc : 0.7716
     Batch 225 | Loss : 0.5246 | Acc : 0.7178
     Batch 250 | Loss : 0.5238 | Acc : 0.7314
     Batch 275 | Loss : 0.4817 | Acc : 0.7466
     Batch 300 | Loss : 0.4524 | Acc : 0.7783
Epoch 00002 | Train Loss : 0.5073 | Eval Loss : 0.4986 | Train acc : 0.7346 | Eval Acc : 0.7360 | Eval Log. Respected : 0.9997
     Batch 000 | Loss : 0.4883 | Acc : 0.7587
     Batch 025 | Loss : 0.5221 | Acc : 0.7229
