Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6963 | Acc : 0.5115
     Batch 025 | Loss : 0.6921 | Acc : 0.5127
     Batch 050 | Loss : 0.6642 | Acc : 0.6562
     Batch 075 | Loss : 0.6147 | Acc : 0.6758
     Batch 100 | Loss : 0.5569 | Acc : 0.7201
     Batch 125 | Loss : 0.4238 | Acc : 0.8018
     Batch 150 | Loss : 0.5376 | Acc : 0.7510
     Batch 175 | Loss : 0.5067 | Acc : 0.7547
     Batch 200 | Loss : 0.4725 | Acc : 0.7624
     Batch 225 | Loss : 0.3773 | Acc : 0.8264
     Batch 250 | Loss : 0.3947 | Acc : 0.8144
     Batch 275 | Loss : 0.4527 | Acc : 0.7798
     Batch 300 | Loss : 0.3396 | Acc : 0.8473
Epoch 00000 | Train Loss : 0.4998 | Eval Loss : 0.4056 | Train acc : 0.7413 | Eval Acc : 0.8047 | Eval Log. Respected : 0.9887
     Batch 000 | Loss : 0.3625 | Acc : 0.8278
     Batch 025 | Loss : 0.3993 | Acc : 0.8208
     Batch 050 | Loss : 0.4975 | Acc : 0.7724
     Batch 075 | Loss : 0.3899 | Acc : 0.8145
     Batch 100 | Loss : 0.3459 | Acc : 0.8357
     Batch 125 | Loss : 0.3707 | Acc : 0.8257
     Batch 150 | Loss : 0.4936 | Acc : 0.7606
     Batch 175 | Loss : 0.4742 | Acc : 0.7733
     Batch 200 | Loss : 0.4119 | Acc : 0.8014
     Batch 225 | Loss : 0.3499 | Acc : 0.8433
     Batch 250 | Loss : 0.3428 | Acc : 0.8435
     Batch 275 | Loss : 0.3235 | Acc : 0.8513
     Batch 300 | Loss : 0.4177 | Acc : 0.7968
Epoch 00001 | Train Loss : 0.3936 | Eval Loss : 0.3954 | Train acc : 0.8146 | Eval Acc : 0.8113 | Eval Log. Respected : 0.9936
     Batch 000 | Loss : 0.3867 | Acc : 0.8120
     Batch 025 | Loss : 0.3889 | Acc : 0.8146
     Batch 050 | Loss : 0.3598 | Acc : 0.8293
     Batch 075 | Loss : 0.3671 | Acc : 0.8233
     Batch 100 | Loss : 0.3893 | Acc : 0.8170
     Batch 125 | Loss : 0.3132 | Acc : 0.8573
     Batch 150 | Loss : 0.3486 | Acc : 0.8387
     Batch 175 | Loss : 0.3489 | Acc : 0.8362
     Batch 200 | Loss : 0.4589 | Acc : 0.7696
     Batch 225 | Loss : 0.3334 | Acc : 0.8467
     Batch 250 | Loss : 0.3271 | Acc : 0.8514
     Batch 275 | Loss : 0.3666 | Acc : 0.8303
     Batch 300 | Loss : 0.3498 | Acc : 0.8374
Epoch 00002 | Train Loss : 0.3809 | Eval Loss : 0.3814 | Train acc : 0.8211 | Eval Acc : 0.8182 | Eval Log. Respected : 0.9969
     Batch 000 | Loss : 0.3180 | Acc : 0.8603
     Batch 025 | Loss : 0.3237 | Acc : 0.8547
     Batch 050 | Loss : 0.4262 | Acc : 0.7927
     Batch 075 | Loss : 0.3556 | Acc : 0.8299
     Batch 100 | Loss : 0.3279 | Acc : 0.8523
     Batch 125 | Loss : 0.3466 | Acc : 0.8414
     Batch 150 | Loss : 0.4033 | Acc : 0.8003
     Batch 175 | Loss : 0.4361 | Acc : 0.7835
     Batch 200 | Loss : 0.4732 | Acc : 0.7693
     Batch 225 | Loss : 0.3208 | Acc : 0.8610
     Batch 250 | Loss : 0.4848 | Acc : 0.7733
     Batch 275 | Loss : 0.3680 | Acc : 0.8292
     Batch 300 | Loss : 0.3162 | Acc : 0.8567
