cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6934 | Acc : 0.4880
     Batch 025 | Loss : 0.6914 | Acc : 0.5114
     Batch 050 | Loss : 0.5950 | Acc : 0.7399
     Batch 075 | Loss : 0.5184 | Acc : 0.7601
     Batch 100 | Loss : 0.4947 | Acc : 0.7642
     Batch 125 | Loss : 0.4542 | Acc : 0.7794
     Batch 150 | Loss : 0.4575 | Acc : 0.7796
     Batch 175 | Loss : 0.3760 | Acc : 0.8290
     Batch 200 | Loss : 0.4095 | Acc : 0.8044
     Batch 225 | Loss : 0.3541 | Acc : 0.8518
     Batch 250 | Loss : 0.3755 | Acc : 0.8220
     Batch 275 | Loss : 0.4490 | Acc : 0.7790
     Batch 300 | Loss : 0.3770 | Acc : 0.8245
Epoch 00000 | Train Loss : 0.4805 | Eval Loss : 0.4110 | Train acc : 0.7549 | Eval Acc : 0.8032 | Eval Log. Respected : 0.9971
     Batch 000 | Loss : 0.3494 | Acc : 0.8404
     Batch 025 | Loss : 0.4710 | Acc : 0.7840
     Batch 050 | Loss : 0.4063 | Acc : 0.8033
     Batch 075 | Loss : 0.5125 | Acc : 0.7650
     Batch 100 | Loss : 0.3907 | Acc : 0.8148
     Batch 125 | Loss : 0.3795 | Acc : 0.8161
     Batch 150 | Loss : 0.4018 | Acc : 0.8139
     Batch 175 | Loss : 0.4374 | Acc : 0.7903
     Batch 200 | Loss : 0.4387 | Acc : 0.7838
     Batch 225 | Loss : 0.4845 | Acc : 0.7595
     Batch 250 | Loss : 0.3522 | Acc : 0.8405
     Batch 275 | Loss : 0.3352 | Acc : 0.8530
     Batch 300 | Loss : 0.3970 | Acc : 0.8167
Epoch 00001 | Train Loss : 0.4061 | Eval Loss : 0.3934 | Train acc : 0.8079 | Eval Acc : 0.8121 | Eval Log. Respected : 0.9739
     Batch 000 | Loss : 0.3643 | Acc : 0.8400
     Batch 025 | Loss : 0.5060 | Acc : 0.7746
     Batch 050 | Loss : 0.3783 | Acc : 0.8177
     Batch 075 | Loss : 0.5240 | Acc : 0.7601
     Batch 100 | Loss : 0.3645 | Acc : 0.8293
     Batch 125 | Loss : 0.4349 | Acc : 0.7834
     Batch 150 | Loss : 0.3857 | Acc : 0.8183
     Batch 175 | Loss : 0.3541 | Acc : 0.8306
     Batch 200 | Loss : 0.3416 | Acc : 0.8473
     Batch 225 | Loss : 0.3656 | Acc : 0.8241
     Batch 250 | Loss : 0.3698 | Acc : 0.8300
     Batch 275 | Loss : 0.3193 | Acc : 0.8591
     Batch 300 | Loss : 0.4047 | Acc : 0.8057
Epoch 00002 | Train Loss : 0.3846 | Eval Loss : 0.3852 | Train acc : 0.8191 | Eval Acc : 0.8167 | Eval Log. Respected : 0.9705
     Batch 000 | Loss : 0.4850 | Acc : 0.7637
     Batch 025 | Loss : 0.3335 | Acc : 0.8480
     Batch 050 | Loss : 0.3034 | Acc : 0.8662
     Batch 075 | Loss : 0.3030 | Acc : 0.8655
     Batch 100 | Loss : 0.3589 | Acc : 0.8297
     Batch 125 | Loss : 0.3056 | Acc : 0.8571
     Batch 150 | Loss : 0.3594 | Acc : 0.8346
     Batch 175 | Loss : 0.4397 | Acc : 0.7940
     Batch 200 | Loss : 0.3771 | Acc : 0.8278
     Batch 225 | Loss : 0.3120 | Acc : 0.8607
     Batch 250 | Loss : 0.4114 | Acc : 0.7979
     Batch 275 | Loss : 0.3671 | Acc : 0.8303
     Batch 300 | Loss : 0.3729 | Acc : 0.8228
